"Nombre Empresa";"Fidelidad de Empleados";"Responsabilidad Civil de Productos";"Seguros de Crédito";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";0.0;0.0;0.0;20.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0
"Andes C.A., Seguros";0.0;0.0;0.0;478.0
"Ávila C.A. de Seguros";0.0;0.0;0.0;21.0
"Atrio Seguros C.A.";0.0;0.0;0.0;153.0
"Banesco Seguros C.A.";0.0;0.0;0.0;166.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";0.0;0.0;0.0;4447.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;155.0
"Constitución C.A., Seguros";0.0;0.0;0.0;712.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";2.0;0.0;0.0;106.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0
"Hispana de Seguros, S.A.";172.0;0.0;0.0;2253.0
"Horizonte, S.A. Seguros";0.0;0.0;0.0;0.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0
"Internacional, S.A. de Seguros";0.0;0.0;0.0;1.0
"Latitud Seguros, C.A.";0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";1086.0;0.0;0.0;3148.0
"Mercantil C.A., Seguros";226.0;0.0;0.0;248.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;0.0;0.0;0.0
"Nuevo Mundo S.A., Seguros";0.0;0.0;0.0;3.0
"Occidental C.A., Seguros";0.0;0.0;0.0;0.0
"Oceánica de Seguros, C.A.";0.0;0.0;0.0;2019.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0
"Pirámide C.A., Seguros";34.0;0.0;0.0;3741.0
"Previsora, C.N.A. de Seguros";0.0;0.0;0.0;54.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0
"Proseguros, S.A.";0.0;0.0;0.0;142.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;0.0
"Real Seguros, S.A.";0.0;0.0;0.0;762.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;0.0;0.0;0.0
"Universal de Seguros C.A.";0.0;0.0;0.0;0.0
"Universitas, C.A. Seguros";0.0;0.0;0.0;536.0
"Venezolana de Seguros y Vida C.A.";0.0;0.0;0.0;1.0
"Venezuela C.A., Seguros";0.0;0.0;0.0;0.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;0.0;0.0;0.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0
